Linux 6.2.0-36-generic (alexey-ubuntu) 	20.11.2023 	_x86_64_	(8 CPU)

00:08:27      UID       PID   cswch/s nvcswch/s  Command
00:08:37        0    240815      0,00  15277,14  stress-ng
00:08:37        0    240816      0,00  10624,76  stress-ng
00:08:37        0    240817      0,00  13853,33  stress-ng
00:08:37        0    240818      0,00    603,81  stress-ng
00:08:37        0    240819      0,00  14779,05  stress-ng
00:08:37        0    240820      0,00  12226,67  stress-ng

00:08:37      UID       PID   cswch/s nvcswch/s  Command
00:08:38        0    240803      8,91      0,00  stress-ng
00:08:38        0    240804      8,91      0,00  stress-ng
00:08:38        0    240805      0,00  18564,36  stress-ng
00:08:38        0    240806      0,00  28339,60  stress-ng
00:08:38        0    240807      0,00  29561,39  stress-ng
00:08:38        0    240808      0,00  27471,29  stress-ng
00:08:38        0    240809      0,00  31148,51  stress-ng
00:08:38        0    240810      0,00  18458,42  stress-ng
00:08:38        0    240811      0,00  24057,43  stress-ng
00:08:38        0    240812      0,00  31218,81  stress-ng
00:08:38        0    240813      0,00  26702,97  stress-ng
00:08:38        0    240814      0,00  38184,16  stress-ng
00:08:38        0    240815      0,00  16631,68  stress-ng
00:08:38        0    240816      0,00  26431,68  stress-ng
00:08:38        0    240817      0,00  29725,74  stress-ng
00:08:38        0    240818      0,00   3724,75  stress-ng
00:08:38        0    240819      0,00  22581,19  stress-ng
00:08:38        0    240820      0,00  30591,09  stress-ng

00:08:38      UID       PID   cswch/s nvcswch/s  Command
00:08:39        0    240803      9,90      0,00  stress-ng
00:08:39        0    240804      9,90      0,00  stress-ng
00:08:39        0    240805      0,00  36300,99  stress-ng
00:08:39        0    240806      0,00  39386,14  stress-ng
00:08:39        0    240807      0,00  27112,87  stress-ng
00:08:39        0    240808      0,00  32520,79  stress-ng
00:08:39        0    240809      0,00   8492,08  stress-ng
00:08:39        0    240810      0,00  32837,62  stress-ng
00:08:39        0    240811      0,00  32089,11  stress-ng
00:08:39        0    240812      0,00  23949,50  stress-ng
00:08:39        0    240813      0,00  21224,75  stress-ng
00:08:39        0    240814      0,00  40305,94  stress-ng
00:08:39        0    240815      0,00  20050,50  stress-ng
00:08:39        0    240816      0,00  44094,06  stress-ng
00:08:39        0    240817      0,00  44354,46  stress-ng
00:08:39        0    240818      0,00  36674,26  stress-ng
00:08:39        0    240819      0,00  43199,01  stress-ng
00:08:39        0    240820      0,00  27294,06  stress-ng

00:08:39      UID       PID   cswch/s nvcswch/s  Command
00:08:40        0    240803      8,91      0,00  stress-ng
00:08:40        0    240804      8,91      0,00  stress-ng
00:08:40        0    240805      0,00  34913,86  stress-ng
00:08:40        0    240806      0,00  36378,22  stress-ng
00:08:40        0    240807      0,00  24319,80  stress-ng
00:08:40        0    240808      0,00  40065,35  stress-ng
