Linux 6.2.0-36-generic (alexey-ubuntu) 	19.11.2023 	_x86_64_	(8 CPU)

23:26:39      UID       PID prio policy  Command
23:30:19        0    233911    0   IDLE  stress-ng
23:30:20        0    233911    0 DEADLN  stress-ng
23:30:21        0    233911    0 DEADLN  stress-ng
23:30:22        0    233911    0 DEADLN  stress-ng
23:30:23        0    233911    0 DEADLN  stress-ng
23:30:24        0    233911    0 DEADLN  stress-ng
23:30:25        0    233911    0 DEADLN  stress-ng
23:30:26        0    233911    0 DEADLN  stress-ng
23:30:27        0    233911    0 DEADLN  stress-ng
23:30:28        0    233911    0 DEADLN  stress-ng
23:30:29        0    233911    0 DEADLN  stress-ng
23:30:30        0    233911    0 DEADLN  stress-ng
23:30:31        0    233911    0 DEADLN  stress-ng
23:30:32        0    233911    0 DEADLN  stress-ng
23:30:33        0    233911    0 DEADLN  stress-ng
23:30:34        0    233911    0 DEADLN  stress-ng
23:30:35        0    233911    0 DEADLN  stress-ng
23:30:36        0    233911    0 DEADLN  stress-ng
23:30:37        0    233911    0 DEADLN  stress-ng
23:30:38        0    233911    0 DEADLN  stress-ng
23:30:39        0    233911    0 DEADLN  stress-ng
23:30:40        0    233911    0 DEADLN  stress-ng
23:30:41        0    233911    0 DEADLN  stress-ng
23:30:42        0    233911    0 DEADLN  stress-ng
23:30:43        0    233911    0 DEADLN  stress-ng
23:30:44        0    233911    0 DEADLN  stress-ng
23:30:45        0    233911    0 DEADLN  stress-ng
23:30:46        0    233911    0 DEADLN  stress-ng
23:30:47        0    233911    0 DEADLN  stress-ng
23:30:48        0    233911    0 DEADLN  stress-ng
23:30:49        0    233911    0 DEADLN  stress-ng
23:30:50        0    233911    0 DEADLN  stress-ng
23:30:51        0    233911    0 DEADLN  stress-ng
23:30:52        0    233911    0 DEADLN  stress-ng
23:30:53        0    233911    0 DEADLN  stress-ng
23:30:54        0    233911    0 DEADLN  stress-ng
23:30:55        0    233911    0 DEADLN  stress-ng
23:30:56        0    233911    0 DEADLN  stress-ng
23:30:57        0    233911    0 DEADLN  stress-ng
23:30:58        0    233911    0 DEADLN  stress-ng
23:30:59        0    233911    0 DEADLN  stress-ng
23:31:00        0    233911    0 DEADLN  stress-ng
23:31:01        0    233911    0 DEADLN  stress-ng
23:31:02        0    233911    0 DEADLN  stress-ng
23:31:03        0    233911    0 DEADLN  stress-ng
23:31:04        0    233911    0 DEADLN  stress-ng
23:31:05        0    233911    0 DEADLN  stress-ng
23:31:06        0    233911    0 DEADLN  stress-ng
23:31:07        0    233911    0 DEADLN  stress-ng
23:31:08        0    233911    0 DEADLN  stress-ng
23:31:09        0    233911    0 DEADLN  stress-ng
23:31:10        0    233911    0 DEADLN  stress-ng
23:31:11        0    233911    0 DEADLN  stress-ng
23:31:12        0    233911    0 DEADLN  stress-ng
23:31:13        0    233911    0 DEADLN  stress-ng
23:31:14        0    233911    0 DEADLN  stress-ng
23:31:15        0    233911    0 DEADLN  stress-ng
23:31:16        0    233911    0 DEADLN  stress-ng
23:31:17        0    233911    0 DEADLN  stress-ng
23:31:18        0    233911    0 DEADLN  stress-ng
23:31:19        0    233911    0 DEADLN  stress-ng
23:31:20        0    233911    0 DEADLN  stress-ng
23:31:21        0    233911    0 DEADLN  stress-ng
23:31:22        0    233911    0 DEADLN  stress-ng
23:31:23        0    233911    0 DEADLN  stress-ng
23:31:24        0    233911    0 DEADLN  stress-ng
23:31:25        0    233911    0 DEADLN  stress-ng
23:31:26        0    233911    0 DEADLN  stress-ng
23:31:27        0    233911    0 DEADLN  stress-ng
23:31:28        0    233911    0 DEADLN  stress-ng
23:31:29        0    233911    0 DEADLN  stress-ng
23:31:30        0    233911    0 DEADLN  stress-ng
23:31:31        0    233911    0 DEADLN  stress-ng
23:31:32        0    233911    0 DEADLN  stress-ng
23:31:33        0    233911    0 DEADLN  stress-ng
23:31:34        0    233911    0 DEADLN  stress-ng
23:31:35        0    233911    0 DEADLN  stress-ng
23:31:36        0    233911    0 DEADLN  stress-ng
23:31:37        0    233911    0 DEADLN  stress-ng
23:31:38        0    233911    0 DEADLN  stress-ng
23:31:39        0    233911    0 DEADLN  stress-ng
23:31:40        0    233911    0 DEADLN  stress-ng
23:31:41        0    233911    0 DEADLN  stress-ng
23:31:42        0    233911    0 DEADLN  stress-ng
23:31:43        0    233911    0 DEADLN  stress-ng
23:31:44        0    233911    0 DEADLN  stress-ng
23:31:45        0    233911    0 DEADLN  stress-ng
23:31:46        0    233911    0 DEADLN  stress-ng
23:31:47        0    233911    0 DEADLN  stress-ng
23:31:48        0    233911    0 DEADLN  stress-ng
23:31:49        0    233911    0 DEADLN  stress-ng
23:31:50        0    233911    0 DEADLN  stress-ng
23:31:51        0    233911    0 DEADLN  stress-ng
23:31:52        0    233911    0 DEADLN  stress-ng
23:31:53        0    233911    0 DEADLN  stress-ng
