
Time;CPU;%usr;%nice;%sys;%iowait;%irq;%soft;%steal;%guest;%gnice;%idle
00:57:56;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;2;98.98;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;3;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;6;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;7;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;all;99.61;0.00;0.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;0;98.88;0.00;1.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;1;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;6;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:57;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;all;98.82;0.00;1.05;0.00;0.00;0.13;0.00;0.00;0.00;0.00
00:57:58;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;1;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;2;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;3;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;4;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;5;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;6;97.92;0.00;2.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:58;7;97.98;0.00;1.01;0.00;0.00;1.01;0.00;0.00;0.00;0.00
00:57:59;all;99.06;0.00;0.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;0;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;1;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;2;98.90;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;5;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;6;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:59;7;97.85;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;all;99.21;0.00;0.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;0;97.89;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:00;2;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
