pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
3040000;3040000;2.11;4.24;9.37;1441704.68;223365.17;161.36
3050000;3050000;2.23;4.18;9.65;1367776.06;220535.07;155.05
3060000;3060000;2.48;3.98;10.38;1233580.62;213091.92;144.72
3070000;3070000;2.33;4.17;9.96;1319380.72;217268.22;151.81
3080000;3080000;2.36;4.26;10.11;1305049.24;214335.42;152.22
3090000;3090000;2.17;4.30;9.61;1421503.04;222142.34;159.98
3100000;3100000;2.29;4.49;9.82;1355579.08;216631.73;156.44
3110000;3110000;2.20;4.30;9.84;1411140.58;219943.42;160.40
3120000;3120000;2.65;4.42;10.78;1177384.72;205263.16;143.40
3130000;3130000;2.27;4.41;9.95;1376973.88;217966.57;157.93
3140000;3140000;2.23;4.63;9.60;1409373.37;220660.58;159.68
3150000;3150000;2.19;4.52;9.59;1440496.16;223245.92;161.31
3160000;3160000;2.21;4.44;9.68;1427258.05;223796.03;159.44
3170000;3170000;2.23;4.40;9.93;1423100.58;221214.24;160.83
3180000;3180000;2.48;4.23;10.56;1284495.85;215010.14;149.35
3190000;3190000;2.63;4.20;10.98;1212216.24;210144.93;144.21
3200000;3200000;2.37;4.28;10.45;1350635.98;217243.72;155.43
3210000;3210000;2.28;4.47;10.03;1409057.34;221379.31;159.12
3220000;3220000;2.34;4.38;10.38;1374127.54;218157.18;157.47
3230000;3230000;2.60;4.91;11.17;1244245.84;200870.65;154.86
3240000;3240000;2.22;4.40;9.95;1459374.81;225783.97;161.59
3250000;3250000;2.25;4.50;10.06;1443466.41;223214.29;161.67
3260000;3260000;2.23;4.52;9.94;1462613.98;225449.52;162.19
3270000;3270000;2.33;4.64;10.11;1403526.12;221694.92;158.27
3280000;3280000;2.32;4.54;10.18;1416669.06;222826.09;158.94
3290000;3290000;2.61;4.22;11.25;1262824.35;212669.68;148.45
3300000;3300000;2.46;4.60;10.51;1341921.10;218398.41;153.61
3310000;3310000;2.72;4.48;11.30;1215052.56;209759.19;144.82
3320000;3320000;2.43;4.43;10.77;1366396.95;218421.05;156.39
3330000;3330000;2.36;4.60;10.32;1410716.26;223190.35;158.02
3340000;3340000;2.29;4.82;10.00;1459513.53;225371.12;161.90
3350000;3350000;2.33;4.58;10.30;1439617.02;225134.41;159.86
3360000;3360000;2.34;4.69;10.36;1433733.71;223255.81;160.55
3370000;3370000;2.39;4.67;10.34;1408532.06;224516.99;156.84
3380000;3380000;2.42;4.57;10.87;1397182.35;218911.92;159.56
3390000;3390000;2.38;4.71;10.58;1423705.96;221713.54;160.53
3400000;3400000;2.41;4.79;10.58;1411149.94;221210.15;159.48
3410000;3410000;2.72;4.78;11.51;1253701.73;209330.88;149.73
3420000;3420000;2.76;4.65;11.73;1239859.01;208791.21;148.46
3430000;3430000;2.93;4.60;11.99;1170866.86;206751.05;141.58
3440000;3440000;2.64;4.84;11.30;1303299.14;213135.07;152.87
3450000;3450000;2.44;5.14;10.50;1412701.23;220588.24;160.11
3460000;3460000;2.52;4.74;10.90;1375540.03;221227.62;155.44
3470000;3470000;2.44;4.93;10.70;1423051.00;222008.96;160.25
3480000;3480000;2.40;4.90;10.66;1449218.49;223650.39;162.00
3490000;3490000;2.41;5.00;10.61;1450957.05;223574.63;162.25
3500000;3500000;2.41;5.05;10.58;1450924.99;223928.34;161.99
3510000;3510000;2.41;5.15;10.47;1453552.14;224711.91;161.71
3520000;3520000;2.44;4.84;10.92;1440925.12;223350.25;161.29
3530000;3530000;2.53;4.74;11.20;1395028.65;221455.46;157.48
