Time;UID;PID;%usr;%system;%guest;%wait;%CPU;CPU;Command
15:29:03;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:04;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:05;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:06;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:07;0;6723;99,00;0,00;0,00;0,00;99,00;4;stress-ng
15:29:08;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:09;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:10;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:11;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:12;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:13;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:14;0;6723;100,00;0,00;0,00;1,00;100,00;4;stress-ng
15:29:15;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:29:16;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:17;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:29:18;0;6723;100,00;1,00;0,00;0,00;101,00;1;stress-ng
15:29:19;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:20;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:29:21;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:22;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:29:23;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:29:24;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:29:25;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:26;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:27;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:29:28;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:29:29;0;6723;98,00;0,00;0,00;1,00;98,00;1;stress-ng
15:29:30;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:31;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:32;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:29:33;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:34;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:35;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:29:36;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:29:37;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:29:38;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:39;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:40;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:41;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:42;0;6723;97,00;0,00;0,00;4,00;97,00;1;stress-ng
15:29:43;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:44;0;6723;98,00;1,00;0,00;0,00;99,00;1;stress-ng
15:29:45;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:46;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:29:47;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:29:48;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:29:49;0;6723;98,00;1,00;0,00;1,00;99,00;1;stress-ng
15:29:50;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:51;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:52;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:29:53;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:29:54;0;6723;98,00;0,00;0,00;1,00;98,00;1;stress-ng
15:29:55;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:29:56;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:29:57;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:29:58;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:29:59;0;6723;98,00;0,00;0,00;2,00;98,00;1;stress-ng
15:30:00;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:30:01;0;6723;99,00;0,00;0,00;1,00;99,00;1;stress-ng
15:30:02;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:30:03;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:30:04;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
15:30:05;0;6723;100,00;0,00;0,00;1,00;100,00;1;stress-ng
15:30:06;0;6723;100,00;0,00;0,00;0,00;100,00;1;stress-ng
15:30:07;0;6723;99,00;0,00;0,00;0,00;99,00;1;stress-ng
